source	reference	greedy	beam
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے 10 ویں اور 11 ویں صدیوں میں <ans> فرانس </ans> کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنڈی کس ملک میں واقع ہے؟	کون سا گروپ نے اپنے آپ کو دوبارہ طور پر کیا؟	کون سی دوسری جنگ عظیموں کو کس کے لئے جانا جاتا تھا؟
نارمنز (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں </ans> میں فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	کون سا گروپ نے اپنے آپ کو کس کے ساتھ ساتھ کیا؟	""""""""""""""""""""""""""""""""
نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں میں </ans> فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	کون سا گروپ نے اپنے آپ کو اپنے آپ کو کیا کہا؟	"""""""""""""""""""""""""""""""""""""""""""""ا تھا؟"""
وہ <ans> ڈنمارک ، آئس لینڈ اور ناروے </ans> کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما رولو کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس کس ملک سے پیدا ہوئے تھے؟	کون سے دو وں نے اپنے آپوں کے ساتھ ساتھ کیا؟	کون سے دو ممالکوں کے ساتھ ساتھ، کون سی دوسری جنگ کے طور پر جانا جاتا تھا؟
وہ ڈنمارک ، آئس لینڈ اور ناروے کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما <ans> رولو </ans> کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس لیڈر کون تھا؟	کون سا گروپ نے اپنے  کے ساتھ ساتھ ساتھ ساتھ ساتھ کیا؟	کون سا گروپ نے  کے طور پر حملہ کیا گیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی </ans> کے پہلے نصف میں سامنے آئی ، اور اس نے بعد کی صدیوں میں ترقی جاری رکھی۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس نے کس نے اپنے طور پر حملہ کیا؟	کس صدی کے دوران کس صدی کے دوران طور پر حملہ کیا گیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی کے پہلے نصف </ans> میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس سال میں نے اپنے آپوں کے لئے ایک اور طور پر حملہ کیا؟	کس صدی کے دوران کس نے طور پر حملہ کیا گیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس صدی کے دوران وں نے اپنے آپوں کے ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ	کس صدی کے دوران کس صدی کے طور پر حملہ کیا گیا تھا؟
نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	کس صدی کے دوران وں نے اپنے آپوں کے ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ ساتھ	کس صدی کے دوران کس صدی کے طور پر حملہ کیا گیا تھا؟
نارمن مہم جوئیوں نے جنوبی اٹلی کو سارسین اور بازنطینیوں پر فتح کرنے کے بعد روجر دوم کے تحت سسلی کی بادشاہی کی بنیاد رکھی ، اور ان کے ڈیوک ، <ans> ولیم فاتح </ans> کی طرف سے ایک مہم نے 1066 میں ہیسٹنگز کی لڑائی میں انگلینڈ کی نارمن فتح کی قیادت کی۔	ہیسٹنگس کی لڑائی میں ڈیوک کون تھا؟	کون سا گروپ نے اپنے آپ کو کیا کی؟	کون سے پہلے کیوں نے کس نے کی؟
